TrendID,ProductGroupID,MarketAnalysisDate,TrendDescription,ProjectedDemand,MarketShare,CompetitorAnalysis,Region,GrowthRate,AnalystID
1,162,2023-11-20 06:09:33.946913,Increasing demand,39117,12.11,Moderate competition,Africa,11.99,41
2,374,2024-03-19 06:09:33.946930,Increasing demand,63015,5.81,Moderate competition,Europe,5.16,35
3,401,2023-12-23 06:09:33.946941,Increasing demand,33978,5.2,Moderate competition,North America,7.91,48
4,164,2023-12-24 06:09:33.946950,Increasing demand,70349,18.7,Moderate competition,South America,4.86,27
5,23,2023-11-03 06:09:33.946959,Increasing demand,88381,9.7,Moderate competition,Africa,1.85,27
6,257,2023-08-25 06:09:33.946967,Increasing demand,78974,16.11,Moderate competition,North America,4.72,25
7,249,2024-05-28 06:09:33.946976,Increasing demand,22424,15.71,Moderate competition,Europe,5.3,13
8,166,2024-03-01 06:09:33.946986,Increasing demand,88236,3.07,Moderate competition,Asia,1.94,17
9,357,2024-02-18 06:09:33.946997,Increasing demand,50492,12.71,Moderate competition,Europe,8.9,4
10,486,2023-11-13 06:09:33.947002,Increasing demand,59619,13.2,Moderate competition,North America,3.97,49
11,31,2024-05-11 06:09:33.947009,Increasing demand,72800,5.27,Moderate competition,Europe,5.53,34
12,214,2023-11-30 06:09:33.947018,Increasing demand,36530,10.6,Moderate competition,Europe,13.79,8
13,318,2023-08-22 06:09:33.947026,Increasing demand,86109,10.29,Moderate competition,Africa,4.9,15
14,174,2024-04-02 06:09:33.947032,Increasing demand,86616,9.05,Moderate competition,Africa,3.69,31
15,472,2023-09-29 06:09:33.947036,Increasing demand,54882,1.83,Moderate competition,South America,6.67,31
16,407,2023-11-03 06:09:33.947040,Increasing demand,49453,16.78,Moderate competition,Europe,14.8,15
17,87,2023-12-28 06:09:33.947045,Increasing demand,1130,12.28,Moderate competition,Europe,9.54,27
18,266,2024-05-02 06:09:33.947049,Increasing demand,14692,14.82,Moderate competition,Asia,9.24,38
19,115,2024-05-12 06:09:33.947053,Increasing demand,36137,17.34,Moderate competition,North America,9.78,28
20,27,2024-01-11 06:09:33.947057,Increasing demand,25502,10.93,Moderate competition,Europe,2.56,1
21,251,2024-02-11 06:09:33.947063,Increasing demand,21232,2.96,Moderate competition,Africa,14.98,47
22,250,2024-02-23 06:09:33.947071,Increasing demand,93984,10.7,Moderate competition,South America,14.92,13
23,271,2023-12-13 06:09:33.947079,Increasing demand,31948,17.16,Moderate competition,North America,1.78,27
24,80,2023-08-02 06:09:33.947085,Increasing demand,98835,4.73,Moderate competition,South America,7.04,25
25,341,2023-09-30 06:09:33.947090,Increasing demand,89802,16.8,Moderate competition,Asia,6.64,34
26,89,2023-11-17 06:09:33.947094,Increasing demand,30687,19.05,Moderate competition,Africa,13.4,49
27,366,2024-01-30 06:09:33.947098,Increasing demand,89430,18.42,Moderate competition,Africa,1.56,22
28,481,2024-01-10 06:09:33.947102,Increasing demand,74913,2.81,Moderate competition,South America,1.63,33
29,144,2023-10-17 06:09:33.947106,Increasing demand,74628,8.71,Moderate competition,Asia,3.27,17
30,448,2024-06-17 06:09:33.947111,Increasing demand,99055,15.46,Moderate competition,North America,6.29,28
31,440,2024-06-08 06:09:33.947114,Increasing demand,32088,14.21,Moderate competition,Africa,11.97,34
32,431,2024-01-14 06:09:33.947118,Increasing demand,1638,3.81,Moderate competition,South America,10.33,39
33,369,2023-07-15 06:09:33.947124,Increasing demand,82446,17.83,Moderate competition,South America,13.77,38
34,52,2023-11-21 06:09:33.947128,Increasing demand,27484,4.2,Moderate competition,South America,5.09,29
35,83,2023-11-01 06:09:33.947132,Increasing demand,38839,5.52,Moderate competition,Africa,8.33,39
36,341,2023-06-24 06:09:33.947136,Increasing demand,37674,14.12,Moderate competition,Europe,12.76,8
37,379,2023-07-22 06:09:33.947140,Increasing demand,60736,4.55,Moderate competition,South America,4.81,38
38,436,2023-12-09 06:09:33.947144,Increasing demand,36903,4.83,Moderate competition,North America,4.4,33
39,466,2023-08-13 06:09:33.947149,Increasing demand,21385,4.73,Moderate competition,Africa,1.31,46
40,20,2024-03-22 06:09:33.947153,Increasing demand,87301,7.25,Moderate competition,Africa,10.54,36
41,395,2024-01-03 06:09:33.947157,Increasing demand,50146,5.13,Moderate competition,North America,9.39,33
42,51,2023-08-05 06:09:33.947161,Increasing demand,81315,6.22,Moderate competition,North America,11.39,3
43,438,2023-06-22 06:09:33.947165,Increasing demand,99036,11.58,Moderate competition,Asia,11.12,47
44,138,2023-08-15 06:09:33.947169,Increasing demand,43591,19.02,Moderate competition,North America,11.55,14
45,353,2023-09-14 06:09:33.947174,Increasing demand,63664,19.51,Moderate competition,South America,14.06,14
46,448,2023-11-27 06:09:33.947178,Increasing demand,33268,9.84,Moderate competition,North America,1.21,34
47,19,2024-03-20 06:09:33.947182,Increasing demand,81394,13.78,Moderate competition,Africa,13.55,47
48,237,2024-01-04 06:09:33.947186,Increasing demand,40410,17.36,Moderate competition,Africa,6.53,10
49,44,2023-12-15 06:09:33.947190,Increasing demand,1482,15.0,Moderate competition,North America,2.93,11
50,6,2024-05-09 06:09:33.947194,Increasing demand,4924,11.06,Moderate competition,North America,8.69,8
51,223,2024-01-06 06:09:33.947198,Increasing demand,2678,1.3,Moderate competition,Africa,14.16,23
52,496,2023-12-01 06:09:33.947202,Increasing demand,79448,12.38,Moderate competition,North America,5.45,42
53,176,2023-07-27 06:09:33.947206,Increasing demand,71524,12.24,Moderate competition,Asia,8.37,14
54,103,2023-10-27 06:09:33.947210,Increasing demand,40725,12.38,Moderate competition,Asia,9.06,13
55,130,2023-08-28 06:09:33.947214,Increasing demand,64268,19.15,Moderate competition,South America,12.27,30
56,483,2024-06-13 06:09:33.947218,Increasing demand,70316,8.83,Moderate competition,Africa,3.91,18
57,353,2024-03-02 06:09:33.947222,Increasing demand,32541,3.34,Moderate competition,Europe,2.17,49
58,486,2023-12-07 06:09:33.947226,Increasing demand,39233,7.61,Moderate competition,Asia,8.05,48
59,187,2023-10-29 06:09:33.947230,Increasing demand,85455,6.07,Moderate competition,Europe,5.62,33
60,306,2023-12-24 06:09:33.947234,Increasing demand,54816,18.12,Moderate competition,Africa,7.27,32
61,224,2023-07-18 06:09:33.947238,Increasing demand,62550,7.47,Moderate competition,Europe,3.72,26
62,78,2024-03-05 06:09:33.947242,Increasing demand,74750,8.56,Moderate competition,Africa,2.67,45
63,402,2024-05-25 06:09:33.947256,Increasing demand,99792,15.25,Moderate competition,Africa,4.19,19
64,129,2023-10-15 06:09:33.947260,Increasing demand,62163,13.96,Moderate competition,Europe,10.22,4
65,490,2023-08-06 06:09:33.947264,Increasing demand,27937,4.76,Moderate competition,Africa,2.67,43
66,490,2024-05-31 06:09:33.947268,Increasing demand,79628,5.51,Moderate competition,Europe,3.32,22
67,414,2023-10-07 06:09:33.947278,Increasing demand,19945,10.96,Moderate competition,Africa,11.71,50
68,72,2024-02-09 06:09:33.947287,Increasing demand,60689,2.26,Moderate competition,Asia,13.0,39
69,439,2023-12-18 06:09:33.947296,Increasing demand,24604,1.79,Moderate competition,South America,10.94,39
